고등어구이	250	667.9	1.9	59.25	47.2	0.4	1227.7	136.3	12.1	0.5
닭갈비	400	595.6	44.9	45.9	25.8	21.2	1535.8	193.4	6	0.2
불고기	300	489	14.8	48.4	23.9	7.2	583.1	103	7	0.2
삼겹살	200	661	1.2	34.5	56.4	0	1924	121	15	-1
미역국	100	23.2	1.2	2.8	0.8	0	293.7	6.5	0.3	0
피자	150	589.3	64.3	21.2	27.9	13.5	792.9	11.6	17.1	0
후라이드치킨	100	312	11	21	20	1	471	85	4.8	0
양념치킨	100	276	21.1	17.8	13.4	6.2	402.70	68.9	2.7	0.1
깍두기	50	18.3	3.3	0.8	0.2	1.4	323.5	0.8	0	0
김치	50	19.1	2.9	1.2	0.3	0.8	312.1	1.1	0.10	0
백김치	50	9.4	1.2	0.5	0.3	0.1	249.1	0	0	0
시금치나물	100	68	7.3	3.2	3.6	1	584	0	0.4	-1
만두	250	452	48.6	16.3	21.4	2.9	849.3	16	6.1	0.1
라면	120	632.2	80.1	12.8	25.2	4.8	3035.5	0	8	-1
짜장면	650	796.5	133.6	19.8	20.3	7.8	2391.6	10.8	8.5	0.2
짬뽕	1000	687.6	100.6	28.2	19.2	3.4	4000.1	109.4	13	0.2
잡채	150	204.3	38.8	2.1	4.5	2.7	659	0	0.8	0
김밥	200	317.7	57.6	7.3	6.5	0.5	833.3	40.5	2.8	0.1
밥	200	340	73.5	8.8	2	0.1	273	0	0.3	-1
떡볶이	200	303.5	60.5	7.6	3.5	6.8	853.1	7.5	0.8	0
제육볶음	300	572	31.1	39.6	33.1	20.9	832	128	10	-1
감자채볶음	100	116.3	16.7	2.1	4.5	1	423.2	0	0.6	0
간장게장	250	302.2	12.8	37.7	11.1	5.9	3220.8	378.8	2.6	0.2
계란말이	100	175.6	2.6	12	13	0.1	327.2	282.2	3.1	0.1
계란후라이	46	89	0.4	6.2	6.8	0.4	238	210	1.9	-1
김치찌개	400	243	11.9	15.1	15	3	1962.1	25.2	2.8	0
된장찌개	400	144.9	13.5	11.5	5	1.8	2021	11.8	0.8	0
계란찜	250	200.6	4.3	17.4	12.7	0.4	835.5	489.4	3.9	0.1
순대	300	547.6	94.9	8	9.9	0.9	1315.2	49.2	3.8	0.1
곰탕	700	579.6	7.4	70.1	30	0	822.8	197.9	8	0.8
